relevance,id,query
1,61591,contact
0,20305,contact
1,98355,contact
1,16203,contact
0,8652,contact
0,15142,contact
0,120271,contact
0,13926,contact
0,47500,contact
0,97397,contact
0,696,contact
0,16988,contact
0,24810,contact
0,61415,contact
4,2300,space jam
0,395992,space jam
0,365942,space jam
0,188927,space jam
0,279096,space jam
0,332502,space jam
0,158852,space jam
0,301728,space jam
0,243938,space jam
0,157336,space jam
0,36373,space jam
0,7555,space jam
0,1370,space jam
0,1369,space jam
0,1368,space jam
0,288183,space jam
1,10474,space jam
0,105583,space jam
0,267345,space jam
0,93856,space jam
0,12435,space jam
1,14736,space jam
1,20737,space jam
0,267,space jam
1,46094,space jam
0,10575,space jam
0,213985,space jam
0,162442,space jam
0,76155,space jam
0,49001,space jam
0,245950,space jam
0,272165,space jam
0,66118,space jam
0,73351,space jam
0,136741,space jam
0,51999,battlestar galactica
0,24128,battlestar galactica
0,61120,battlestar galactica
0,4584,battlestar galactica
0,315010,battlestar galactica
4,325553,battlestar galactica
3,69315,battlestar galactica
3,105077,battlestar galactica
1,11,battlestar galactica
1,12180,battlestar galactica
1,140607,battlestar galactica
1,1893,battlestar galactica
1,330459,battlestar galactica
0,9876,battlestar galactica
0,34614,battlestar galactica
0,74208,battlestar galactica
0,16384,battlestar galactica
0,1918,battlestar galactica
0,34582,battlestar galactica
0,31546,battlestar galactica
0,99258,battlestar galactica
0,44375,battlestar galactica
0,195617,battlestar galactica
0,143841,battlestar galactica
0,247112,battlestar galactica
0,13371,battlestar galactica
0,77887,battlestar galactica
0,82424,battlestar galactica
0,18238,battlestar galactica
0,105538,battlestar galactica
0,99648,battlestar galactica
0,44479,battlestar galactica
0,138535,battlestar galactica
0,8068,battlestar galactica
0,7085,battlestar galactica
0,43212,battlestar galactica
0,54186,battlestar galactica
0,50479,battlestar galactica
4,152601,her
0,17819,her
0,198001,her
0,170430,her
0,18206,her
0,96769,her
0,86457,her
0,130750,her
0,59527,her
0,5143,her
0,1919,her
0,23967,her
0,53156,her
0,79887,her
0,11931,her
0,45241,her
0,14556,her
0,9374,her
0,66113,her
0,265966,her
1,4032,her
1,11317,her
0,73969,her
0,14279,her
0,54198,her
0,47607,her
0,28687,her
0,42757,her
1,11446,her
0,2026,her
2,12223,her
2,9890,her
0,288772,her
1,200236,her
1,60140,her
4,115782,jobs
4,321697,jobs
3,89638,jobs
0,127929,jobs
0,47099,jobs
0,16406,jobs
0,15302,jobs
0,41588,jobs
0,281289,jobs
0,14773,jobs
0,55069,jobs
0,21629,jobs
0,3293,jobs
3,186606,jobs
0,213938,jobs
0,54559,jobs
0,13119,jobs
0,27223,jobs
0,133469,jobs
0,1774,jobs
4,37799,social network
0,267752,social network
0,18467,social network
0,78294,social network
0,10774,social network
0,49980,social network
0,38408,social network
0,39002,social network
0,59387,social network
0,28303,social network
0,32547,social network
0,268735,social network
0,328069,social network
0,16988,social network
0,24664,social network
0,25218,social network
0,23451,social network
0,39750,social network
0,11779,social network
0,33358,social network
4,36685,rocky horror
0,1374,rocky horror
0,1246,rocky horror
0,1371,rocky horror
0,1375,rocky horror
0,1367,rocky horror
0,81830,rocky horror
0,60375,rocky horror
0,110123,rocky horror
0,33475,rocky horror
0,1366,rocky horror
0,13696,rocky horror
0,17711,rocky horror
0,7443,rocky horror
0,300669,rocky horror
0,14228,rocky horror
0,791,rocky horror
0,27997,rocky horror
0,16139,rocky horror
0,49445,rocky horror
4,278,shawshank redemption
0,214857,shawshank redemption
0,31781,shawshank redemption
0,295958,shawshank redemption
0,81657,shawshank redemption
0,198130,shawshank redemption
0,46016,shawshank redemption
0,241287,shawshank redemption
0,126056,shawshank redemption
0,78049,shawshank redemption
0,13989,shawshank redemption
0,136418,shawshank redemption
0,38124,shawshank redemption
0,38234,shawshank redemption
0,135714,shawshank redemption
0,220820,shawshank redemption
0,75576,shawshank redemption
0,288162,shawshank redemption
0,166901,shawshank redemption
0,48199,shawshank redemption
4,1051,french connection
3,10711,french connection
1,197950,french connection
0,288953,french connection
0,44379,french connection
0,59558,french connection
0,27067,french connection
0,24166,french connection
0,19086,french connection
0,288290,french connection
0,2011,french connection
0,266040,french connection
0,33996,french connection
0,223519,french connection
0,236661,french connection
0,30238,french connection
0,36095,french connection
0,61462,french connection
0,15053,french connection
0,37845,french connection
2,278604,star wars new hope
2,278468,star wars new hope
3,12180,star wars new hope
2,20787,star wars new hope
2,76180,star wars new hope
3,1895,star wars new hope
3,1894,star wars new hope
4,11,star wars new hope
3,330459,star wars new hope
1,101609,star wars new hope
1,81899,star wars new hope
0,29587,star wars new hope
0,11008,star wars new hope
3,140607,star wars new hope
3,1893,star wars new hope
0,25872,star wars new hope
0,19837,star wars new hope
0,18046,star wars new hope
0,10521,star wars new hope
0,5717,star wars new hope
4,324849,lego batman
3,177271,lego batman
3,322456,lego batman
3,137106,lego batman
2,33427,lego batman
1,45162,lego batman
1,364,lego batman
1,251519,lego batman
1,382322,lego batman
1,321528,lego batman
1,415,lego batman
1,29751,lego batman
1,15805,lego batman
1,17074,lego batman
1,125249,lego batman
1,40662,lego batman
1,366924,lego batman
1,21683,lego batman
1,20077,lego batman
1,93560,lego batman
4,146,crouching tiger hidden dragon
3,263341,crouching tiger hidden dragon
1,15860,crouching tiger hidden dragon
0,214857,crouching tiger hidden dragon
0,16407,crouching tiger hidden dragon
0,103173,crouching tiger hidden dragon
0,81870,crouching tiger hidden dragon
0,10473,crouching tiger hidden dragon
0,21521,crouching tiger hidden dragon
0,75465,crouching tiger hidden dragon
0,287233,crouching tiger hidden dragon
0,22752,crouching tiger hidden dragon
0,220504,crouching tiger hidden dragon
0,39144,crouching tiger hidden dragon
0,47626,crouching tiger hidden dragon
0,2805,crouching tiger hidden dragon
0,75507,crouching tiger hidden dragon
0,35868,crouching tiger hidden dragon
0,27245,crouching tiger hidden dragon
0,39148,crouching tiger hidden dragon
4,550,fight club
1,1366,fight club
0,26555,fight club
0,51976,fight club
0,248774,fight club
0,43522,fight club
0,277622,fight club
0,293660,fight club
0,17136,fight club
0,276120,fight club
0,110491,fight club
0,13973,fight club
0,137145,fight club
0,5951,fight club
0,39578,fight club
0,23683,fight club
0,213983,fight club
0,55831,fight club
0,39254,fight club
0,197033,fight club
4,562,die hard
3,1573,die hard
3,1572,die hard
3,1571,die hard
3,47964,die hard
0,26244,die hard
0,7517,die hard
0,269494,die hard
0,201414,die hard
0,90374,die hard
0,20160,die hard
0,44103,die hard
0,4836,die hard
0,73335,die hard
0,233487,die hard
0,23449,die hard
0,13063,die hard
0,31046,die hard
0,289010,die hard
0,259616,die hard
0,10258,die hard
0,51311,die hard
0,13250,die hard
0,34599,die hard
0,37270,die hard
0,83125,die hard
4,11051,last temptation of christ
1,28169,last temptation of christ
0,23830,last temptation of christ
2,615,last temptation of christ
2,19401,last temptation of christ
0,20268,last temptation of christ
2,47980,last temptation of christ
0,97006,last temptation of christ
1,262904,last temptation of christ
1,96973,last temptation of christ
2,24192,last temptation of christ
1,36226,last temptation of christ
2,12545,last temptation of christ
0,23522,last temptation of christ
2,31510,last temptation of christ
2,199512,last temptation of christ
0,68981,last temptation of christ
0,46756,last temptation of christ
2,213386,last temptation of christ
0,149145,last temptation of christ
4,8967,tree of life
0,62394,tree of life
0,51409,tree of life
0,45974,tree of life
0,165911,tree of life
0,30177,tree of life
0,91737,tree of life
0,43008,tree of life
0,37284,tree of life
0,43767,tree of life
0,94706,tree of life
0,117730,tree of life
0,36540,tree of life
0,61080,tree of life
0,72358,tree of life
0,25435,tree of life
0,79042,tree of life
0,36072,tree of life
0,159138,tree of life
0,158711,tree of life
0,7555,tree of life
0,1370,tree of life
0,1369,tree of life
0,1368,tree of life
0,288183,tree of life
2,26386,murray saves christmas
3,364067,murray saves christmas
2,9647,murray saves christmas
0,175555,murray saves christmas
0,5825,murray saves christmas
0,10433,murray saves christmas
0,28033,murray saves christmas
1,81393,murray saves christmas
1,21501,murray saves christmas
1,172413,murray saves christmas
1,20785,murray saves christmas
1,46240,murray saves christmas
1,86778,murray saves christmas
1,45697,murray saves christmas
1,13187,murray saves christmas
1,14813,murray saves christmas
1,49742,murray saves christmas
1,850,murray saves christmas
1,13189,murray saves christmas
1,13358,murray saves christmas
0,1366,murray saves christmas
0,1374,murray saves christmas
0,1246,murray saves christmas
0,1367,murray saves christmas
0,1371,murray saves christmas
0,44718,murray saves christmas
0,127451,murray saves christmas
0,87169,murray saves christmas
0,153141,murray saves christmas
0,12493,murray saves christmas
1,81182,murray saves christmas
1,9656,murray saves christmas
1,340402,murray saves christmas
1,16412,murray saves christmas
0,52105,murray saves christmas
0,9871,murray saves christmas
0,27429,murray saves christmas
0,73065,murray saves christmas
0,20077,murray saves christmas
0,192393,murray saves christmas
0,15906,murray saves christmas
0,43532,murray saves christmas
0,36670,murray saves christmas
0,13343,murray saves christmas
4,44214,black swan
4,29882,black swan
1,8966,black swan
0,124461,black swan
0,27327,black swan
0,39424,black swan
0,18239,black swan
0,95242,black swan
2,22586,black swan
2,15016,black swan
1,28302,black swan
1,54113,black swan
0,50619,black swan
0,54491,black swan
1,61048,black swan
0,40440,black swan
0,24021,black swan
0,199818,black swan
0,25757,black swan
0,39914,black swan
1,73191,black swan
0,15167,black swan
1,13759,black swan
0,49852,black swan
0,24696,black swan
0,22582,black swan
0,287233,black swan
0,76891,black swan
0,39853,black swan
0,30669,black swan
0,91292,black swan
0,11816,black swan
0,116983,black swan
0,76346,black swan
4,104221,emma
4,183894,emma
4,3573,emma
4,12254,emma
3,17813,emma
0,78646,emma
0,12432,emma
0,63727,emma
0,152584,emma
0,77468,emma
0,26985,emma
0,2528,emma
0,23512,emma
0,13319,emma
1,43798,emma
0,51828,emma
0,250235,emma
0,24869,emma
0,253161,emma
0,11050,emma
0,14154,emma
0,254464,emma
0,269100,emma
0,80215,emma
0,5000,emma
0,77074,emma
0,35066,emma
1,42266,emma
0,22597,emma
0,26191,emma
0,106402,emma
0,198185,emma
0,20873,emma
0,541,emma
0,1283,emma
4,76341,mad max fury road
3,8810,mad max fury road
3,9659,mad max fury road
3,9355,mad max fury road
1,290999,mad max fury road
0,37776,mad max fury road
0,9770,mad max fury road
0,149172,mad max fury road
0,27460,mad max fury road
0,62529,mad max fury road
0,92667,mad max fury road
0,27543,mad max fury road
0,24351,mad max fury road
0,159615,mad max fury road
0,26258,mad max fury road
0,251516,mad max fury road
0,4148,mad max fury road
0,228150,mad max fury road
0,47608,mad max fury road
0,201086,mad max fury road
0,239573,mad max fury road
0,13911,mad max fury road
0,28036,mad max fury road
0,9346,mad max fury road
0,32074,mad max fury road
4,251516,kung fury
1,18666,kung fury
0,37776,kung fury
0,149172,kung fury
0,27460,kung fury
0,62529,kung fury
0,11891,kung fury
1,50393,kung fury
1,9470,kung fury
0,92667,kung fury
0,27543,kung fury
0,24351,kung fury
0,159615,kung fury
1,58255,kung fury
1,18725,kung fury
1,15854,kung fury
1,60639,kung fury
1,49444,kung fury
0,228150,kung fury
1,9502,kung fury
0,46147,kung fury
0,86577,kung fury
0,41870,kung fury
0,339428,kung fury
0,9614,kung fury
4,3083,mr smith goes to washington
2,25058,mr smith goes to washington
1,266814,mr smith goes to washington
0,15670,mr smith goes to washington
0,78140,mr smith goes to washington
0,787,mr smith goes to washington
0,45019,mr smith goes to washington
0,35262,mr smith goes to washington
0,31309,mr smith goes to washington
0,162284,mr smith goes to washington
0,260,mr smith goes to washington
0,303742,mr smith goes to washington
0,44383,mr smith goes to washington
0,77012,mr smith goes to washington
0,33831,mr smith goes to washington
0,24197,mr smith goes to washington
0,101449,mr smith goes to washington
0,55863,mr smith goes to washington
0,909,mr smith goes to washington
0,14434,mr smith goes to washington
0,9928,mr smith goes to washington
0,10681,mr smith goes to washington
0,283995,mr smith goes to washington
0,62994,mr smith goes to washington
0,212849,mr smith goes to washington
0,83735,mr smith goes to washington
0,10107,mr smith goes to washington
0,287991,mr smith goes to washington
0,59744,mr smith goes to washington
0,27297,mr smith goes to washington
0,67750,mr smith goes to washington
0,288153,mr smith goes to washington
0,5424,mr smith goes to washington
0,20980,mr smith goes to washington
0,15292,mr smith goes to washington
0,9067,mr smith goes to washington
0,12629,mr smith goes to washington
0,9804,mr smith goes to washington
3,393,kill bill
4,24,kill bill
0,37517,kill bill
0,330711,kill bill
0,46691,kill bill
0,318922,kill bill
0,8141,kill bill
0,114888,kill bill
0,190906,kill bill
0,115199,kill bill
0,315,kill bill
0,61943,kill bill
0,28049,kill bill
0,17285,kill bill
0,27261,kill bill
0,13589,kill bill
0,53063,kill bill
0,128276,kill bill
0,167305,kill bill
0,54102,kill bill
0,3083,kill bill
0,25058,kill bill
0,909,kill bill
0,24197,kill bill
0,787,kill bill
0,3080,kill bill
0,99875,kill bill
0,10588,kill bill
0,43580,kill bill
0,20239,kill bill
1,25602,kill bill
1,48707,kill bill
1,22484,kill bill
1,12500,kill bill
1,52009,kill bill
0,79118,kill bill
0,15669,kill bill
0,47448,kill bill
0,76960,kill bill
0,293461,kill bill
4,238,the godfather
3,242,the godfather
3,240,the godfather
0,77403,the godfather
2,70829,the godfather
1,18973,the godfather
0,154779,the godfather
2,45485,the godfather
0,49852,the godfather
0,54102,the godfather
0,13533,the godfather
0,8995,the godfather
0,29887,the godfather
0,62836,the godfather
0,36909,the godfather
0,82866,the godfather
0,75579,the godfather
1,400,the godfather
0,21469,the godfather
0,1374,the godfather
0,12112,the godfather
0,9469,the godfather
0,27511,the godfather
0,279690,the godfather
0,31556,the godfather
0,603,the godfather
0,605,the godfather
0,604,the godfather
0,10999,the godfather
0,957,the godfather
0,110398,the godfather
0,21147,the godfather
0,12721,the godfather
0,220933,the godfather
0,26789,the godfather
0,13200,the godfather
0,39514,the godfather
0,256876,the godfather
0,9626,the godfather
0,51422,the godfather
4,680,pulp fiction
1,28131,pulp fiction
0,37988,pulp fiction
0,18451,pulp fiction
0,75404,pulp fiction
0,33470,pulp fiction
0,25208,pulp fiction
0,43317,pulp fiction
0,10349,pulp fiction
0,91063,pulp fiction
0,55086,pulp fiction
0,19562,pulp fiction
0,20781,pulp fiction
0,47369,pulp fiction
0,13166,pulp fiction
0,1092,pulp fiction
0,54300,pulp fiction
0,97251,pulp fiction
0,15990,pulp fiction
0,10249,pulp fiction
2,393,pulp fiction
2,24,pulp fiction
0,37517,pulp fiction
0,330711,pulp fiction
0,46691,pulp fiction
0,21501,pulp fiction
0,81182,pulp fiction
0,340402,pulp fiction
0,9656,pulp fiction
0,16412,pulp fiction
4,5825,christmas vacation
1,13673,christmas vacation
1,77499,christmas vacation
0,16342,christmas vacation
1,75132,christmas vacation
0,249072,christmas vacation
1,13397,christmas vacation
0,76452,christmas vacation
1,81393,christmas vacation
0,158382,christmas vacation
1,21501,christmas vacation
1,11419,christmas vacation
1,172413,christmas vacation
1,20785,christmas vacation
1,46240,christmas vacation
1,86778,christmas vacation
1,45697,christmas vacation
1,13187,christmas vacation
1,14813,christmas vacation
1,49742,christmas vacation
0,88293,christmas vacation
0,4247,christmas vacation
0,4248,christmas vacation
0,131916,christmas vacation
0,4256,christmas vacation
4,11252,psycho
4,539,psycho
3,12662,psycho
2,1359,psycho
3,10576,psycho
1,27723,psycho
1,35683,psycho
1,10726,psycho
0,11629,psycho
0,560,psycho
0,32836,psycho
0,29103,psycho
0,42307,psycho
0,28604,psycho
0,16092,psycho
0,79363,psycho
0,49691,psycho
0,10890,psycho
0,112336,psycho
0,9877,psycho
0,9614,psycho
0,125842,psycho
0,427760,psycho
1,4247,psycho
0,30335,psycho
4,637,life is beautiful
0,288162,life is beautiful
0,83860,life is beautiful
0,226247,life is beautiful
1,58197,life is beautiful
0,14002,life is beautiful
0,219781,life is beautiful
0,59437,life is beautiful
0,25228,life is beautiful
0,669,life is beautiful
0,32630,life is beautiful
0,302496,life is beautiful
0,147729,life is beautiful
0,75720,life is beautiful
0,38834,life is beautiful
0,41659,life is beautiful
0,40651,life is beautiful
0,20122,life is beautiful
0,29483,life is beautiful
0,6414,life is beautiful
0,201859,life is beautiful
0,13982,life is beautiful
0,66178,life is beautiful
0,60405,life is beautiful
0,242076,life is beautiful
0,85593,life is beautiful
4,72003,dark knight
3,49026,dark knight
4,155,dark knight
3,142061,dark knight
3,123025,dark knight
3,29751,dark knight
0,114875,dark knight
0,17240,dark knight
0,83233,dark knight
0,82485,dark knight
3,13851,dark knight
0,30584,dark knight
0,577,dark knight
0,124080,dark knight
0,58595,dark knight
0,5765,dark knight
0,37834,dark knight
0,98851,dark knight
2,14919,dark knight
0,213270,dark knight
0,319074,dark knight
0,10296,dark knight
0,45148,dark knight
0,101860,dark knight
0,153158,dark knight
4,497,the green mile
0,57537,the green mile
0,252147,the green mile
0,117375,the green mile
0,22734,the green mile
0,8275,the green mile
0,65,the green mile
0,24739,the green mile
0,31005,the green mile
0,61988,the green mile
0,9285,the green mile
0,165534,the green mile
0,13794,the green mile
0,86084,the green mile
0,250666,the green mile
0,28323,the green mile
0,251260,the green mile
0,267188,the green mile
0,71864,the green mile
0,30584,the green mile
0,250503,the green mile
0,7443,the green mile
0,9982,the green mile
0,13343,the green mile
0,78206,the green mile
0,482,forrest gump
0,479,forrest gump
0,11492,forrest gump
0,494,forrest gump
0,493,forrest gump
4,13,forrest gump
0,26686,forrest gump
0,13155,forrest gump
0,43688,forrest gump
0,33034,forrest gump
0,9614,forrest gump
0,125842,forrest gump
0,427760,forrest gump
0,4247,forrest gump
0,30335,forrest gump
0,73262,forrest gump
0,17960,forrest gump
0,33068,forrest gump
0,28377,forrest gump
0,13300,forrest gump
0,49874,forrest gump
0,290739,forrest gump
0,284793,forrest gump
0,57811,forrest gump
0,31048,forrest gump
0,46689,forrest gump
0,73952,forrest gump
0,97514,forrest gump
0,29717,forrest gump
0,126141,forrest gump
0,183111,forrest gump
4,13475,spaceship movie
3,200,spaceship movie
3,193,spaceship movie
3,199,spaceship movie
4,188927,spaceship movie
4,11,spaceship movie
3,12180,spaceship movie
4,140607,spaceship movie
3,1893,spaceship movie
4,330459,spaceship movie
4,325553,spaceship movie
3,69315,spaceship movie
3,105077,spaceship movie
0,497,spaceship movie
0,57537,spaceship movie
0,252147,spaceship movie
0,117375,spaceship movie
0,22734,spaceship movie
1,13068,spaceship movie
2,168742,spaceship movie
1,13685,spaceship movie
1,58434,spaceship movie
1,49081,spaceship movie
4,2300,basketball cartoon aliens
0,71139,basketball cartoon aliens
0,72744,basketball cartoon aliens
0,18968,basketball cartoon aliens
0,64335,basketball cartoon aliens
2,10715,basketball cartoon aliens
2,41394,basketball cartoon aliens
2,26540,basketball cartoon aliens
2,80607,basketball cartoon aliens
4,2300,basketball cartoon aliens
0,7555,basketball cartoon aliens
0,1370,basketball cartoon aliens
0,1369,basketball cartoon aliens
0,1368,basketball cartoon aliens
0,288183,basketball cartoon aliens
0,19995,basketball cartoon aliens
0,100287,basketball cartoon aliens
0,16220,basketball cartoon aliens
0,49524,basketball cartoon aliens
0,22379,basketball cartoon aliens
1,18443,basketball cartoon aliens
0,348,basketball cartoon aliens
0,8077,basketball cartoon aliens
0,29938,basketball cartoon aliens
0,10128,basketball cartoon aliens
0,258193,basketball cartoon aliens
3,13352,christmas movie
3,35257,christmas movie
3,79818,christmas movie
3,81393,christmas movie
3,28535,christmas movie
3,14813,christmas movie
3,49742,christmas movie
4,45697,christmas movie
3,48874,christmas movie
4,16716,christmas movie
0,18113,christmas movie
0,319070,christmas movie
0,56965,christmas movie
4,5825,christmas movie
0,44181,christmas movie
0,325553,christmas movie
0,69315,christmas movie
0,105077,christmas movie
0,243935,christmas movie
0,127451,christmas movie
0,52454,christmas movie
0,16325,christmas movie
0,49637,christmas movie
0,301728,christmas movie
0,3080,christmas movie
0,99875,christmas movie
0,10588,christmas movie
0,43580,christmas movie
0,20239,christmas movie
4,81294,reindeer movie
4,13382,reindeer movie
3,33719,reindeer movie
0,43876,reindeer movie
0,38715,reindeer movie
0,14267,reindeer movie
0,1654,reindeer movie
4,24951,reindeer movie
4,33719,reindeer movie
0,14560,reindeer movie
0,62414,reindeer movie
0,21989,reindeer movie
0,313050,reindeer movie
0,9025,reindeer movie
0,33321,reindeer movie
2,105168,reindeer movie
2,42332,reindeer movie
2,13383,reindeer movie
2,238302,reindeer movie
2,10147,reindeer movie
0,273404,reindeer movie
0,78228,reindeer movie
0,21244,reindeer movie
0,13342,reindeer movie
0,69794,reindeer movie
0,27814,reindeer movie
0,56693,reindeer movie
0,34840,reindeer movie
0,244688,reindeer movie
0,27281,reindeer movie
4,602,alien invasion
3,47933,alien invasion
0,125344,alien invasion
0,63727,alien invasion
0,154140,alien invasion
1,26946,alien invasion
0,143336,alien invasion
0,35395,alien invasion
0,184322,alien invasion
0,252178,alien invasion
3,16268,alien invasion
4,34812,alien invasion
4,74,alien invasion
0,18974,alien invasion
0,80410,alien invasion
4,75,alien invasion
1,289318,alien invasion
0,43512,alien invasion
0,29143,alien invasion
1,7348,alien invasion
0,18722,alien invasion
0,15104,alien invasion
0,26131,alien invasion
0,13341,alien invasion
0,51890,alien invasion
0,320048,alien invasion
0,184992,alien invasion
0,9074,alien invasion
0,68200,alien invasion
0,198062,alien invasion
0,245175,alien invasion
0,49511,alien invasion
0,883,alien invasion
0,239573,alien invasion
0,28036,alien invasion
0,13911,alien invasion
0,9346,alien invasion
0,32074,alien invasion
4,82690,video game movie
0,15493,video game movie
0,86295,video game movie
0,114618,video game movie
0,32033,video game movie
3,80215,video game movie
3,94590,video game movie
3,269100,video game movie
3,38510,video game movie
3,13158,video game movie
0,85633,video game movie
0,26186,video game movie
0,52355,video game movie
0,68200,video game movie
0,9595,video game movie
0,24273,video game movie
0,44909,video game movie
4,257344,video game movie
0,58574,video game movie
0,71730,video game movie
0,432517,video game movie
0,59013,video game movie
0,104880,video game movie
1,13929,video game movie
0,10955,video game movie
0,80919,video game movie
0,91010,video game movie
0,21712,video game movie
0,35555,football sunday
0,16508,football sunday
0,79161,football sunday
0,6472,football sunday
0,13042,football sunday
0,45938,football sunday
0,29251,football sunday
0,70805,football sunday
0,28414,football sunday
0,46754,football sunday
4,9563,football sunday
0,29251,football sunday
0,45938,football sunday
0,47161,football sunday
0,70805,football sunday
0,54551,football sunday
0,11340,football sunday
0,91456,football sunday
0,195833,football sunday
0,84177,football sunday
0,46147,football sunday
0,86577,football sunday
0,41870,football sunday
0,339428,football sunday
0,9614,football sunday
0,189277,football sunday
0,55151,football sunday
0,11643,football sunday
0,52867,football sunday
0,53336,football sunday
0,57165,football titans
0,379291,football titans
0,18823,football titans
0,10323,football titans
4,10637,football titans
0,6320,football titans
0,53414,football titans
0,183113,football titans
0,9336,football titans
0,38034,football titans
0,51890,football titans
0,18722,football titans
0,250700,football titans
0,15669,football titans
0,252637,football titans
0,1858,football titans
0,1857,football titans
0,91314,football titans
0,335988,football titans
0,38356,football titans
0,47249,football titans
0,38225,football titans
0,197467,football titans
0,13995,football titans
0,10511,football titans
0,562,football titans
0,1573,football titans
0,1572,football titans
0,1571,football titans
0,47964,football titans
4,286217,stuck on mars
1,9849,stuck on mars
1,50321,stuck on mars
1,5126,stuck on mars
1,16268,stuck on mars
0,211672,stuck on mars
0,54551,stuck on mars
0,229407,stuck on mars
0,54559,stuck on mars
0,229408,stuck on mars
1,75,stuck on mars
1,289318,stuck on mars
1,29143,stuck on mars
1,43512,stuck on mars
3,7348,stuck on mars
0,170632,stuck on mars
0,13848,stuck on mars
0,89883,stuck on mars
0,111969,stuck on mars
0,1792,stuck on mars
0,32308,stuck on mars
0,295315,stuck on mars
0,522,stuck on mars
0,41792,stuck on mars
0,154779,stuck on mars
0,44833,stuck on mars
0,10005,stuck on mars
0,10364,stuck on mars
0,100402,stuck on mars
0,34544,stuck on mars
0,47249,stuck on mars
0,38225,stuck on mars
0,197467,stuck on mars
0,13995,stuck on mars
0,10511,stuck on mars
0,232672,stuck on mars
0,433,stuck on mars
0,43229,stuck on mars
0,365942,stuck on mars
1,105538,stuck on mars
1,55215,stuck on mars
0,217477,stuck on mars
0,105554,stuck on mars
3,190847,stuck on mars
0,250761,stuck on mars
0,34759,stuck on mars
0,310119,stuck on mars
0,20595,stuck on mars
1,60976,world war 2
3,75015,world war 2
3,129405,world war 2
2,288109,world war 2
0,38828,world war 2
4,1654,world war 2
